Mail Address;GivenName;Surname;DisplayName;SamAccountName;UserPrincipalName;JobTitle;Department;OfficeNumber;Mobile Phone;Fax;Address;City;StateorProvince;Zip or Postal;CountryOrRegion;OU;Password
msmith@geds.web-connectivity.fr;Marie;Smith;Marie SMITH;msmith;msmith@scassi.lan;Technicien;IT;1012;34600000000;12172551111;Calle del Poeta Joan Maragall, 55;Madrid;;31670;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
pwalker@geds.web-connectivity.fr;Paul;Walker;Paul WALKER;pwalker;pwalker@scassi.lan;Pentester;IT;1013;34600000000;12172551111;Calle del Poeta Joan Maragall, 56;Madrid;;31670;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
rwilliams@geds.web-connectivity.fr;Robert;Williams;Robert WILLIAMS;rwilliams;rwilliams@scassi.lan;Administratrice;IT;1014;34600000000;12172551111;Calle del Poeta Joan Maragall, 57;Madrid;;31670;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
rshattuck@geds.web-connectivity.fr;Russel;Shattuck;Russel SHATTUCK;rshattuck;rshattuck@scassi.lan;Manager;IT;1015;34600000000;12172551111;Calle del Poeta Joan Maragall, 58;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
adurr@geds.web-connectivity.fr;Alicia;Durr;Alicia DURR;adurr;adurr@scassi.lan;Product Owner;IT;1016;34600000000;12172551111;Calle del Poeta Joan Maragall, 59;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
vgogins@geds.web-connectivity.fr;Vito;Gogins;Vito Gogins;vgogins;vgogins@scassi.lan;Data Scientist;IT;1017;34600000000;12172551111;Calle del Poeta Joan Maragall, 60;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
tshock@geds.web-connectivity.fr;Tarra;Shock;Tarra SHOCK;tshock;tshock@scassi.lan;Analyste;IT;1018;34600000000;12172551111;Calle del Poeta Joan Maragall, 61;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
tclemente@geds.web-connectivity.fr;Terri;Clemente;Terri CLEMENTE;tclemente;tclemente@scassi.lan;Developpeur;Dev;1019;34600000000;12172551111;Calle del Poeta Joan Maragall, 62;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
shipps@geds.web-connectivity.fr;Shaun;Hipps;Shaun HIPPS;shipps;shipps@scassi.lan;Developpeur;Dev;1020;34600000000;12172551111;Calle del Poeta Joan Maragall, 63;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
cson@geds.web-connectivity.fr;Chet;Son;Chet SON;cson;cson@scassi.lan;Developpeur;Dev;1021;34600000000;12172551111;Calle del Poeta Joan Maragall, 64;Madrid;;28020;ES;OU=ES,OU=Utilisateurs,OU=scassi,DC=scassi,DC=local;password
